Bus Name ,x,y
v117,42.68449338,-75.43451507
v118,42.68476424,-75.43380965
v01181,42.685241,-75.433652
v119,42.68519604,-75.43282561
v120,42.6856054,-75.43185666
v121,42.68600885,-75.43092929
v01215,42.68625309,-75.43035328
v122,42.68646257,-75.42982657
v123,42.68669621,-75.4292633
v124,42.68707919,-75.42831246
v125,42.68671888,-75.42825513
v126,42.68688869,-75.42754736
v127,42.68710754,-75.42678896
v128,42.68717802,-75.42619351
v129,42.6874713,-75.42488292
v130,42.68767807,-75.42427406
v131,42.68776112,-75.42349085
v132,42.68787473,-75.4223432
v133,42.68794571,-75.42171121
v134,42.68800362,-75.42105373
v135,42.68808643,-75.4203473
v01355,42.68815469,-75.41970491
v136,42.68815051,-75.41894518
v137,42.68824169,-75.41800573
v01371,42.68842431,-75.41816331
v138,42.68834618,-75.41704819
v139,42.68846916,-75.41622307
v140,42.68856256,-75.41526183
v141,42.68867814,-75.41457586
v142,42.68868603,-75.41384328
v143,42.6884869,-75.41296151
v01431,42.68869589,-75.41265741
v144,42.68829344,-75.41217059
v145,42.68815174,-75.41165426
v01451,42.68809456,-75.41139778
v01452,42.68755238,-75.412241
v146,42.68789642,-75.41066486
v147,42.68769926,-75.40985852
v148,42.68750802,-75.40923525
v149,42.68721203,-75.40798467
v150,42.68702399,-75.40720716
v01501,42.68656041,-75.40734999
v01502,42.68616436,-75.40683936
v01503,42.686225,-75.407444
v01504,42.682854,-75.408107
v01505,42.68648648,-75.40784586
v01506,42.68661463,-75.40901296
v01507,42.68685517,-75.40972039
v151,42.68680982,-75.40639378
v152,42.68657101,-75.40547077
v153,42.68625309,-75.40421784
v155,42.6860054,-75.40319759
v156,42.68588168,-75.40221188
v157,42.68577447,-75.40123153
v158,42.68566307,-75.40038563
v159,42.68556227,-75.39942004
v160,42.68545408,-75.39840147
v161,42.68533849,-75.39734703
v162,42.68525174,-75.39643943
v163,42.68515611,-75.39561901
v164,42.68503707,-75.3945877
v165,42.6849062,-75.39344709
v167,42.68476818,-75.39226156
v168,42.68472801,-75.39186794
v169,42.68464397,-75.3909627
v171,42.68455721,-75.39000951
v01715,42.684016,-75.390163
v172,42.68448007,-75.38934465
v173,42.68437434,-75.38839146
v174,42.68427699,-75.38756132
v175,42.68418284,-75.38674928
v01751,42.68409387,-75.38585443
v176,42.68403028,-75.3853827
v01761,42.68293573,-75.38568176
v178,42.68387304,-75.38398158
v180,42.68375005,-75.38287885
v181,42.68365861,-75.38229849
v183,42.68386466,-75.38101606
v184,42.68397532,-75.38002834
v185,42.68408499,-75.3790842
v186,42.68403693,-75.37804484
v187,42.68398099,-75.37713155
v188,42.68401179,-75.37614215
v189,42.68404112,-75.37540253
v190,42.68405394,-75.37477724
v191,42.68407612,-75.37404802
v193,42.68412837,-75.37316322
v194,42.68404975,-75.37268244
v195,42.68363717,-75.37268177
v196,42.68324529,-75.37270524
v197,42.68285513,-75.37271563
v198,42.68242357,-75.37273206
v01981,42.68232621,-75.37374191
v01982,42.68246867,-75.37444901
v019821,42.68318934,-75.37371274
v01983,42.68270725,-75.37477523
v01984,42.68307227,-75.37530128
v199,42.68203119,-75.37265562
v200,42.68171965,-75.37244137
v201,42.68141205,-75.37210409
v02011,42.68125874,-75.37274044
v202,42.68118554,-75.3716984
v203,42.68092477,-75.37114654
v204,42.68065981,-75.37053265
v205,42.68048629,-75.37008841
v206,42.68001897,-75.36941048
w05,42.67984298,-75.46303801
w1,42.68055333,-75.46315871
w2,42.68143793,-75.46352785
w3,42.68270602,-75.46358552
w4,42.6835652,-75.46360631
w045,42.683945,-75.46362743
w5,42.68443891,-75.46367504
w6,42.68494958,-75.46290122
w7,42.68546098,-75.46210561
w8,42.68595562,-75.46135794
w9,42.68662622,-75.46054892
w10,42.68733599,-75.46002254
w11,42.68807928,-75.45930002
w12,42.68864759,-75.45864522
w13,42.6891109,-75.45810007
w14,42.68975559,-75.45739096
w15,42.69033916,-75.45674186
w16,42.69092099,-75.45605924
w17,42.69157478,-75.45537964
w0171,42.69137345,-75.45471311
